ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
7094,6,1,3,0,40.52073477,40.5221318,-74.21287117,-74.2110283
7095,1,1,0,4,40.52073477,40.5221318,-74.2110283,-74.20918543
7097,12,0,12,0,40.52073477,40.5221318,-74.20734257,-74.2054997
7100,1,1,0,4,40.52073477,40.5221318,-74.20181397,-74.19997111
7109,1,0,1,0,40.52073477,40.5221318,-74.18522818,-74.18338532
7110,3,2,1,4,40.52073477,40.5221318,-74.18338532,-74.18154245
7113,5,3,2,4,40.52073477,40.5221318,-74.17785672,-74.17601385
7400,17,7,4,4,40.5221318,40.52352884,-74.24051415,-74.23867128
7403,25,8,4,4,40.5221318,40.52352884,-74.23498555,-74.23314269
7405,5,1,4,0,40.5221318,40.52352884,-74.23129982,-74.22945696
7406,5,3,1,4,40.5221318,40.52352884,-74.22945696,-74.22761409
7410,1,1,0,4,40.5221318,40.52352884,-74.22208549,-74.22024263
7411,2,2,0,4,40.5221318,40.52352884,-74.22024263,-74.21839976
7412,4,2,2,2,40.5221318,40.52352884,-74.21839976,-74.2165569
7413,9,2,3,0,40.5221318,40.52352884,-74.2165569,-74.21471403
7414,8,4,3,2,40.5221318,40.52352884,-74.21471403,-74.21287117
7416,1,0,0,0,40.5221318,40.52352884,-74.2110283,-74.20918543
7418,2,1,1,2,40.5221318,40.52352884,-74.20734257,-74.2054997
7419,2,1,1,2,40.5221318,40.52352884,-74.2054997,-74.20365684
7422,4,2,2,2,40.5221318,40.52352884,-74.19997111,-74.19812824
7427,1,0,1,0,40.5221318,40.52352884,-74.19075678,-74.18891391
7429,10,2,8,0,40.5221318,40.52352884,-74.18707105,-74.18522818
7435,6,4,2,4,40.5221318,40.52352884,-74.17601385,-74.17417099
7724,5,0,0,0,40.52352884,40.52492587,-74.23498555,-74.23314269
7725,2,0,0,0,40.52352884,40.52492587,-74.23314269,-74.23129982
7726,2,1,0,4,40.52352884,40.52492587,-74.23129982,-74.22945696
7727,4,2,2,2,40.52352884,40.52492587,-74.22945696,-74.22761409
7730,1,0,1,0,40.52352884,40.52492587,-74.22392836,-74.22208549
7731,2,1,1,2,40.52352884,40.52492587,-74.22208549,-74.22024263
7732,6,3,3,2,40.52352884,40.52492587,-74.22024263,-74.21839976
7733,2,1,1,2,40.52352884,40.52492587,-74.21839976,-74.2165569
7734,9,4,3,2,40.52352884,40.52492587,-74.2165569,-74.21471403
7735,2,2,0,4,40.52352884,40.52492587,-74.21471403,-74.21287117
7736,2,0,2,0,40.52352884,40.52492587,-74.21287117,-74.2110283
7738,1,1,0,4,40.52352884,40.52492587,-74.20918543,-74.20734257
7739,1,0,1,0,40.52352884,40.52492587,-74.20734257,-74.2054997
7740,3,2,1,4,40.52352884,40.52492587,-74.2054997,-74.20365684
7741,6,4,2,4,40.52352884,40.52492587,-74.20365684,-74.20181397
7742,4,2,1,4,40.52352884,40.52492587,-74.20181397,-74.19997111
7743,5,3,2,4,40.52352884,40.52492587,-74.19997111,-74.19812824
